Train_Line,LGA,Category,2011,2012,2013,2014,2015,2016,2017,2018
Mandurah,Kwinana,Work_Car,7932,,,,,10628,,
Mandurah,Kwinana,Work_Home,240,,,,,409,,
Mandurah,Rockingham,Total_Pop,,,119300,123038,126012,128992,131003,133389
Mandurah,Rockingham,Working_Pop,,,78994,81278,83002,84632,85540,86753
Mandurah,Rockingham,Nr_Businesses,,,,5119,5288,5420,5525,5561
Mandurah,Rockingham,Nr_Cars,,,65560,69739,72327,73571,74578,75603
Mandurah,Rockingham,Unemployed,3020,,,,,5941,,
Mandurah,Rockingham,Working_force,51119,,,,,60778,,
Mandurah,Rockingham,Work_Train,1248,,,,,1457,,
Mandurah,Rockingham,Work_Bus,1079,,,,,1452,,
Mandurah,Rockingham,Work_Car,29634,,,,,35191,,
Mandurah,Rockingham,Work_Home,1219,,,,,1579,,
Mandurah,Mandurah,Total_Pop,,,79292,80927,82202,83322,84196,85302
Mandurah,Mandurah,Working_Pop,,,48694,49397,49745,49862,49839,49971
Mandurah,Mandurah,Nr_Businesses,,,,4421,4494,4629,4592,4607
Mandurah,Mandurah,Nr_Cars,,,47684,50353,51551,52024,52570,53430
Mandurah,Mandurah,Unemployed,2121,,,,,3787,,
Mandurah,Mandurah,Working_force,29849,,,,,34823,,
Mandurah,Mandurah,Work_Train,568,,,,,570,,
Mandurah,Mandurah,Work_Bus,610,,,,,906,,
Mandurah,Mandurah,Work_Car,16587,,,,,19589,,
Mandurah,Mandurah,Work_Home,918,,,,,1196,,
GreaterPerth,Perth Metro,Total_Pop,,,1943855,1973923,1998937,2019263,2037902,2059484
GreaterPerth,Perth Metro,Working_Pop,,,1332769,1346899,1356756,1361451,1364074,1368926
GreaterPerth,Perth Metro,Nr_Businesses,,,,170035,172835,176582,180214,182219
GreaterPerth,Perth Metro,Nr_Cars,,,1159060,1205861,1223855,1236116,1240215,1244534
GreaterPerth,Perth Metro,Unemployed,42859,,,,,81482,,
GreaterPerth,Perth Metro,Working_force,900491,,,,,1001678,,
GreaterPerth,Perth Metro,Work_Train,24099,,,,,25725,,
GreaterPerth,Perth Metro,Work_Bus,30600,,,,,34063,,
GreaterPerth,Perth Metro,Work_Car,527160,,,,,590114,,
GreaterPerth,Perth Metro,Work_Home,29476,,,,,35527,,
