Month,Average Price,Fuel %,Armadale,Armadale %,Mandurah,Mandurah %,Joondalup,Joondalup %,Total,%
Feb-15,118.7,0.033972125,793967,0.328608267,1790522,0.21871869,1514085,0.226317367,13350914,0.335665469
Mar-15,129.1,0.087615838,834853,0.051495843,1994133,0.113716,1615792,0.067173904,14196225,0.063314841
Apr-15,129.6,0.003872967,700366,-0.161090635,1649067,-0.173040615,1356368,-0.160555319,11588056,-0.183722715
May-15,135.4,0.044753086,776402,0.108566093,1835544,0.113080305,1493803,0.101325746,13227287,0.141458671
Jun-15,138.1,0.019940916,741596,-0.044829869,1702292,-0.072595372,1372731,-0.081049509,12187683,-0.078595407
Jul-15,137.6,-0.003620565,737968,-0.004892152,1722011,0.011583794,1443306,0.051412112,11863998,-0.02655837
Aug-15,133.7,-0.028343023,776965,0.052843755,1783306,0.035595011,1448014,0.003261956,12912105,0.088343491
Sep-15,129.1,-0.034405385,752418,-0.031593444,1713157,-0.039336491,1408496,-0.027291173,12695406,-0.016782624
Oct-15,127.3,-0.01394268,803683,0.06813367,1825665,0.065672907,1503853,0.067701293,12794594,0.007812905
Nov-15,122.6,-0.03692066,751502,-0.064927341,1665624,-0.087661756,1371613,-0.087934127,12400497,-0.030801837
Dec-15,123.4,0.006525285,671486,-0.106474767,1501414,-0.098587676,1288234,-0.060789013,10673762,-0.139247241
Jan-16,118.5,-0.039708266,619787,-0.076991925,1460117,-0.027505405,1233727,-0.042311412,9740079,-0.087474594
Feb-16,110.2,-0.070042194,682408,0.101036324,1776368,0.216592917,1461775,0.184844783,12607306,0.294374101
Mar-16,111.1,0.008166969,675237,-0.010508376,1898132,0.068546607,1519805,0.039698312,13268941,0.052480284
Apr-16,111.1,0,680640,0.008001635,1776849,-0.063895978,1433412,-0.056844793,11836698,-0.107939511
May-16,113.6,0.02250225,696320,0.023037142,1817457,0.02285394,1462799,0.020501433,13053011,0.102757796
Jun-16,123.2,0.084507042,659876,-0.052338006,1655301,-0.089221368,1341995,-0.082584142,11786280,-0.097045119
Jul-16,120.1,-0.025162338,489106,-0.258791046,1567035,-0.053323232,1304902,-0.027640192,10697514,-0.092375711
Aug-16,113,-0.059117402,707439,0.446391989,1815859,0.158786498,1466542,0.123871371,12879279,0.203950656
Sep-16,111.3,-0.015044248,662583,-0.063406174,1692156,-0.068123681,1379840,-0.059120025,11869497,-0.078403613
Oct-16,114.5,0.028751123,657954,-0.006986295,1708693,0.00977274,1386247,0.004643292,11894350,0.002093855
Nov-16,123.6,0.079475983,672262,0.021746201,1716642,0.004652094,1424156,0.027346497,12269909,0.031574571
Dec-16,127.1,0.028317152,612544,-0.088831438,1517616,-0.115939142,1309962,-0.080183632,10312972,-0.159490751
Jan-17,133.6,0.051140834,382008,-0.37635827,1465399,-0.034407255,1225480,-0.064491947,9402117,-0.088321291
Feb-17,132.5,-0.008233533,598315,0.566236833,1633722,0.114864962,1347619,0.099666253,11739089,0.248558064
Mar-17,129.3,-0.024150943,703614,0.175992579,2022860,0.238191075,1625291,0.206046368,13872657,0.181749027
Apr-17,126.1,-0.024748647,560834,-0.202923762,1562494,-0.227581741,1274763,-0.215670917,10680079,-0.230134573
May-17,125.9,-0.001586043,716425,0.277427902,1923243,0.230880247,1530658,0.200739275,13438111,0.258240786
